t_ns_pi,enc_t_ms_pico,BL,FL,FR,BR,ax,ay,az,gx,gy,gz
5306306935536,99922,38281,42609,32562,28705,-0.3687070556640625,-0.9241618408203125,11.789048974609374,0.04753091124391122,-0.029554019948369623,-0.03397596482422397
5306326346352,99942,38389,42722,32674,28814,0.29927520751953124,0.8595183959960937,10.216058483886718,0.003431370601917092,-0.049005781077466726,-0.02118576572563957
5306346831343,99962,38497,42835,32786,28925,0.5027823486328125,0.25139117431640623,12.258312499999999,-0.0014981853006623136,-0.048472856115025706,0.017984219013775154
5306366878579,99982,38604,42949,32898,29035,0.0,-0.8571241943359375,10.778695874023438,-0.0654491807935843,0.0573127489295161,-0.03557473971154702
5306386958223,100002,38711,43064,33008,29143,-0.277727392578125,0.8595183959960937,13.754688537597655,-0.09116281023136337,0.1303234687839354,0.023846393600626334
5306407049681,100022,38819,43178,33118,29250,-0.6512228515624999,0.4429273071289062,11.137826123046874,0.01622156970050149,-0.08710991589199941,0.04036706743629785
5306427105139,100042,38925,43292,33228,29358,0.6392518432617187,-0.00718260498046875,10.603919152832031,0.0006335145491017553,-0.07138862949998943,0.00959065085532914
5306447055858,100062,39030,43405,33336,29465,0.08379705810546874,-0.3711012573242187,11.602301245117188,0.020884663121860388,-0.029554019948369623,-0.006930022980342371
5306467577534,100082,39134,43517,33446,29571,0.20350714111328125,-0.6057330200195312,11.03248125,0.005429839211070903,0.041724693778116356,-0.012658966326583303
5306486778963,100102,39239,43628,33554,29675,0.41419688720703124,0.14604630126953125,12.7563064453125,-0.036671232821769414,0.11433571991070489,0.05702097251257962
5306506800144,100122,39344,43739,33664,29782,-0.2346317626953125,0.3232172241210937,12.65335577392578,-0.007093897406292991,0.03093296328868577,0.03716951766165175
5306526708956,100142,39448,43851,33770,29885,-0.26336218261718747,-0.5410895751953124,11.566388220214844,0.11814346876734594,-0.16611604157388016,0.027843330818933962
5306546288011,100162,39552,43963,33876,29989,0.296881005859375,-0.3687070556640625,10.881646545410156,0.029145000039696146,-0.04314360649061555,-0.0492975574944032
5306566208841,100182,39656,44076,33980,30095,0.603338818359375,0.16519991455078123,10.903194360351561,-0.01588715928656977,-0.005439165397913618,-0.05595911952491591
5306586214726,100202,39759,44190,34085,30200,0.5530605834960938,-0.30406361083984373,11.556811413574218,0.0022322894364248044,-0.012500421150257093,-0.06488561264580295
5306606451201,100222,39863,44303,34192,30304,0.27293898925781246,-0.2442085693359375,12.85207451171875,-0.12313830797782438,0.15883495427452976,-0.01678913478550119
5306626232458,100242,39967,44416,34300,30408,0.07422025146484375,-0.18435352783203124,11.650185278320311,0.003564601842527347,-0.09417117164434288,0.020915306307200746
5306646160307,100262,40071,44528,34408,30512,-0.3016694091796875,-0.15322890625,10.934318981933593,0.02767945639298335,-0.03754789438498486,0.009190957133498379
5306666339505,100282,40175,44640,34516,30612,0.6344634399414062,1.0223241088867188,11.571176623535155,-0.016819777970841544,-0.01036872130049302,-0.006930022980342371
5306686318316,100302,40279,44751,34622,30713,0.51714755859375,0.09337386474609374,11.089942089843749,-0.025746271091728574,-0.018895520699549282,-0.04117045181717769
5306706221350,100322,40384,44862,34732,30816,-0.12689268798828124,-0.8547299926757812,12.571952917480468,-0.04200048244617957,0.17682117175691406,-0.0020004670777629685
5306726576546,100342,40490,44973,34840,30921,0.3064578125,0.0718260498046875,12.401964599609375,0.02035173815941937,0.023072320092680777,0.027710099578323707
5306746268897,100362,40598,45082,34946,31025,0.4165910888671875,0.04548983154296875,10.79545528564453,0.00822769526388624,-0.10576228957743498,-0.017988215950993473
5306766332522,100382,40707,45192,35052,31130,-0.49799394531249996,-0.6631938598632812,11.243170996093749,0.04086934921339851,-0.04913901231807698,-0.049564019975623715
5306786345943,100402,40818,45303,35160,31236,0.5027823486328125,0.040701428222656245,10.165780249023436,0.013556944888296408,-0.05087101844601029,-0.03704028335825981
5306806876267,100422,40928,45414,35268,31342,0.8690952026367187,1.0366893188476562,12.112266198730469,-0.012023453308872393,0.00815042114433231,-0.05955636302139277
5306826279491,100442,41038,45527,35379,31449,-0.24181436767578124,0.373495458984375,12.773065856933593,-0.040801401280687294,0.07849651618654652,-0.026248552868829232
5306846891944,100462,41151,45639,35490,31556,0.5626373901367188,-0.5578489868164063,12.038045947265624,0.04046965549156775,-0.07338709810914323,0.0014635451781036396
5306866783164,100482,41265,45750,35602,31664,0.45010991210937495,0.2442085693359375,11.386823095703125,0.04220166161950105,-0.10256473980278889,-0.00013522970921941296
5306886877492,100502,41380,45861,35714,31768,0.7517793212890624,0.6081272216796875,11.097124694824219,0.004497220526799125,-0.056866424273471716,-0.057424663171628705
5306906914043,100522,41495,45973,35826,31876,-0.32082302246093747,-0.18914193115234373,11.21683477783203,0.036605949513870376,0.038660375244080517,-0.010394035236208986
5306926892539,100542,41609,46085,35938,31985,-0.4740519287109375,0.3950432739257812,13.96298408203125,0.021817281806132165,0.1166006510010792,0.0037284762684779565
5306946861295,100562,41723,46198,36051,32093,0.076614453125,0.25139117431640623,10.896011755371093,0.0028984456394760723,-0.06819107972534333,-0.019720222078926777
5306966815717,100582,41835,46312,36162,32202,0.6464344482421874,-0.33039982910156246,10.89122335205078,0.025680987783829535,-0.01063518378171353,-0.043701845388772524
5306986905527,100602,41946,46426,36272,32311,0.5243301635742187,0.07900865478515624,11.367669482421874,-0.05012758812340508,0.027202488551598653,-0.04050429561412642
5307007132576,100622,42057,46542,36382,32422,0.737414111328125,0.13407529296874998,12.452242834472656,-0.042799869889841094,0.000289777948327314,-0.025982090387608715
5307027136628,100642,42169,46658,36494,32532,0.19393033447265623,0.181959326171875,14.47294903564453,-0.06265132474076897,0.10740769539897167,-0.023051003094183127
5307046233262,100662,42281,46773,36606,32640,-0.19871873779296872,0.28969840087890625,10.843339318847656,0.015821875978670727,-0.05806550543896401,-0.021318996966249823
5307066357182,100682,42394,46887,36718,32748,0.6296750366210937,-0.22744915771484372,10.014945544433592,0.007028614098393952,-0.09097362186969679,-0.017455290988552453
5307086256790,100702,42506,47001,36830,32856,1.5298948608398437,0.2705447875976562,12.638990563964843,0.04260135534133182,-0.017696439534056998,0.015719287923400833
5307106032807,100722,42618,47113,36939,32964,-0.5099649536132812,-0.6344634399414062,10.881646545410156,0.04406689898804461,0.002687940279311886,-0.039571676929854645
5307126221005,100742,42730,47227,37050,33072,-1.3862427612304686,0.5961562133789062,12.138602416992187,-0.03533892041566687,0.24210447965593862,-0.022251615650521604
5307146351148,100762,42844,47342,37162,33182,0.6967126831054687,-0.7517793212890624,13.125013500976562,0.03873764936363444,-0.07005631709388689,-0.0205196095225883
5307166014054,100782,42955,47458,37272,33290,0.13646949462890623,-0.3064578125,10.127473022460936,-0.02414749620440552,0.027735413514039672,-0.06888254986411055
5307186741173,100802,43066,47575,37382,33398,0.2346317626953125,0.1197100830078125,12.665326782226561,0.0452659801535369,-0.0022416156232675163,-0.019187297116485758
5307206123045,100822,43178,47692,37494,33509,-0.22505495605468748,0.26336218261718747,9.488221179199218,-0.017619165414503066,-0.03235187600118496,0.010789732020821428
5307226595092,100842,43292,47809,37606,33618,0.373495458984375,0.4070142822265625,12.00931552734375,0.03807149316058318,0.0334643568602806,-0.016522672304280672
5307246315739,100862,43406,47925,37720,33729,-0.16998831787109375,-0.2753331909179687,13.148955517578123,0.032609012295562755,0.04385639362788042,-0.04876463253196218
5307266521381,100882,43519,48039,37832,33839,-0.34237083740234375,1.1731588134765625,11.03248125,-0.005761585000190448,-0.008636715172559716,-0.009594647792547463
5307286650413,100902,43633,48153,37942,33949,0.9026140258789062,0.076614453125,11.010933435058593,0.01875296327209632,-0.03914666927230792,-0.009994341514378217
5307306943277,100922,43746,48267,38052,34058,0.6153098266601562,0.01915361328125,11.59990704345703,0.00436398928618887,-0.03435034461033877,-0.031311340012018886
5307326762348,100942,43858,48381,38162,34166,-0.19632453613281248,0.36631285400390623,11.9518546875,0.08696735846454645,0.12259605682854063,0.03650336145860048
5307346778029,100962,43969,48496,38274,34276,-0.2920926025390625,-0.3399766357421875,13.436259716796874,0.032609012295562755,0.051184111861444406,-0.03863905824558286
5307366789507,100982,44077,48610,38384,34386,0.7996633544921875,0.5051765502929687,11.240776794433593,0.025014831580778267,-0.0546014931830974,-0.05702496944979795
5307386842687,101002,44183,48724,38494,34494,0.4261678955078125,0.06703764648437499,10.412383020019531,-0.031341983197359244,-0.026889395136164538,0.005460482396411261
5307407650509,101022,44286,48837,38602,34603,0.19632453613281248,0.3280056274414062,11.097124694824219,-0.0509269755670666,-0.03328449468545673,0.005860176118242022
5307426836809,101042,44391,48950,38712,34711,0.07422025146484375,0.1771709228515625,11.79862578125,-0.011357297105821122,-0.011168108744154543,0.01878360645743668
5307446915582,101062,44499,49063,38824,34818,-0.05746083984375,-0.28969840087890625,13.441048120117186,-0.01588715928656977,0.10061290212784871,-0.039704908170464896
5307466823134,101082,44609,49175,38934,34925,-0.06464344482421874,-0.8978256225585937,11.449072338867186,0.027412993911762842,0.0349299005069934,-0.04223630174205973
5307486855889,101102,44721,49286,39042,35030,0.5051765502929687,0.05746083984375,10.129867224121092,0.007295076579614462,-0.03608235073827208,-0.017854984710383215
5307506871478,101122,44833,49398,39150,35137,0.6751648681640625,0.6655880615234374,11.982979309082031,-0.0442654135365539,-0.005172702916693108,-0.06968193730777208
5307526717568,101142,44945,49509,39260,35242,0.15562310791015624,0.07422025146484375,10.419565624999999,-0.013888690677415948,-0.001575459420216245,0.01438697551729829
5307546326864,101162,45059,49623,39370,35349,-0.19632453613281248,-0.373495458984375,13.213598962402344,0.04340074278499334,0.0366619066349267,0.013187894351806003
5307566017844,101182,45174,49737,39482,35452,0.3184288208007812,-0.5578489868164063,11.935095275878906,0.018220038309655302,-0.049671937280518,-0.10738637840047402
5307586108858,101202,45286,49851,39592,35558,0.63206923828125,0.4261678955078125,10.28549033203125,-0.020417021467318403,-0.05153717464906156,-0.05182895106599803
5307606434351,101222,45399,49964,39702,35666,0.2825157958984375,0.105344873046875,11.781866369628906,-0.045730957183266696,-0.04860608735563596,-0.03930521444863414
5307626799658,101242,45513,50077,39812,35774,0.6368576416015624,0.10773907470703124,11.59990704345703,-0.06798057436517914,-0.01036872130049302,-0.03997137065168541
5307646778173,101262,45626,50190,39924,35882,-0.4285620971679687,-0.9864110839843749,12.114660400390624,0.058455872973952064,0.09275225893184372,0.010523269539600918
5307666821965,101282,45736,50303,40038,35990,-0.033518823242187495,-0.7398083129882812,13.211204760742186,0.029677925002137163,0.03959299392835229,-0.007596179183393642
5307686723406,101302,45845,50414,40150,36098,-0.49799394531249996,0.2657563842773437,10.275913525390624,-0.01508777184290824,-0.1008327336748556,-0.008395566627055172
5307706914178,101322,45952,50524,40262,36204,0.32082302246093747,-0.18914193115234373,10.58476553955078,-0.003896347631646889,-0.021027220549313354,0.0009306202156626198
5307726772046,101342,46062,50635,40373,36312,0.9840168823242187,-0.35194764404296874,10.960655200195312,-0.0018978790224930785,-0.04620792502465139,-0.01678913478550119
5307746573099,101362,46173,50747,40482,36420,-0.6560112548828124,-0.01915361328125,11.870451831054687,0.06884790974155189,0.07836328494593625,-0.004265398168137292
5307766937758,101382,46286,50860,40592,36530,0.7326257080078125,-0.21308394775390624,13.548787194824218,0.03860441812302419,0.0750325039306799,0.014520206757908546
5307786720349,101402,46399,50971,40703,36639,0.8547299926757812,0.2059013427734375,10.83376251220703,0.007295076579614462,-0.05273625581455384,-0.09472941054249989
5307807066379,101422,46513,51081,40814,36748,0.2561795776367187,0.258573779296875,11.432312927246093,-0.020017327745487642,-0.060996592732389596,-0.012658966326583303
5307827334390,101442,46625,51193,40926,36856,0.15322890625,0.11252747802734374,10.503362683105468,-0.004828966315918667,-0.048339624874415454,0.001596776418713891
5307846662745,101462,46738,51306,41038,36964,-0.076614453125,0.12689268798828124,12.492944262695312,0.08257072752440807,0.03852714400347026,0.0006641577344421098
5307866207134,101482,46851,51420,41152,37074,0.7326257080078125,-0.16280571289062498,13.87918702392578,0.015422182256839966,0.10261137073700252,-0.021452228206860074
5307886195963,101502,46961,51534,41262,37180,-0.9983820922851562,-0.82360537109375,11.054029064941405,0.001832595714594043,0.03599575043187543,-0.017988215950993473
5307906340847,101522,47068,51648,41322,37236,-3.593696691894531,-2.5474305664062498,10.59194814453125,-0.06611533699663558,0.14524536773228383,-0.49575544477936495
5307926745487,101542,47177,51762,41336,37243,-2.73896669921875,-0.15083470458984374,12.81376728515625,0.01901942575331683,-0.0947040966067839,-0.9105042967990861
5307947297607,101562,47283,51874,41335,37223,-2.427720483398437,0.3399766357421875,11.092336291503905,-0.022149027595251707,-0.0708557045375484,-0.9748549860138389
5307966395223,101582,47385,51985,41334,37188,-0.25139117431640623,0.833182177734375,11.88721124267578,0.06751559733544935,0.016543989302778322,-0.8051183854763752
5307987238267,101602,47477,52094,41326,37141,-0.7398083129882812,0.41419688720703124,11.726799731445311,0.03367486222044479,0.08529130945766947,-0.7511597330292221
5308006951247,101622,47559,52199,41312,37086,-1.2904746948242187,0.06464344482421874,11.29344923095703,0.037138874476311395,0.021473545205357724,-0.799789135851965
5308027030538,101642,47636,52303,41294,37024,0.2154781494140625,-0.18914193115234373,11.870451831054687,0.05712356056784952,0.010681814715927137,-0.7295762720503609
5308046889591,101662,47705,52405,41269,36958,0.18435352783203124,-1.01514150390625,11.235988391113281,0.04633183007841893,0.022539395130239757,-0.7015977115222075
5308067036141,101682,47767,52506,41238,36887,-0.24181436767578124,-0.7565677246093749,13.309367028808593,0.06498420376385451,0.003487327722973412,-0.7594200699470578
5308086983471,101702,47826,52604,41204,36814,-0.6703764648437499,0.3854664672851562,10.958260998535156,0.06178665398920842,0.0024214777980913794,-0.7796712185198165
5308106851154,101722,47885,52701,41168,36739,0.7398083129882812,-0.028730419921875,13.254300390625,0.024615137858947502,-0.038880206791087404,-0.7776727499106627
5308126212674,101742,47942,52796,41127,36665,0.9504980590820312,-0.718260498046875,10.82179150390625,0.004630451767409376,0.021473545205357724,-0.7530249703977657
5308146229485,101762,47994,52890,41082,36591,-0.7254431030273437,0.040701428222656245,11.700463513183593,0.09416184545750017,-0.015564739684292932,-0.7987232859270829
5308166133686,101782,48048,52983,41036,36518,-0.0383072265625,-0.6368576416015624,10.654197387695312,0.08083872139647476,-0.00530593415730336,-0.8532148633366767
5308186879637,101802,48103,53074,40988,36447,0.86191259765625,1.13006318359375,12.610260144042968,0.06058757282371613,-0.07205478570304069,-0.8592102691641383
5308206085048,101822,48158,53162,40938,36379,0.23702596435546874,-1.3670891479492187,10.635043774414061,-0.0005655666163905324,0.05971091126050067,-0.8381597331477182
5308226411152,101842,48214,53249,40884,36312,0.24899697265624998,-0.5315127685546874,12.401964599609375,0.005163376729850396,0.00495287136968621,-0.8389591205913796
5308246413334,101862,48270,53336,40830,36247,-0.10773907470703124,-0.1149216796875,11.267113012695312,0.03034408120518843,0.003753790204193922,-0.8698687684129586
5308266390867,101882,48325,53423,40776,36183,0.6057330200195312,0.5003881469726562,12.457031237792968,0.10974990060889991,-0.04194452532512326,-0.7743419688954063
5308286382270,101902,48378,53511,40724,36118,1.0079588989257813,-0.055066638183593745,11.461043347167967,0.0020990581958145495,-0.017563208293446746,-0.7857998555878882
5308306379637,101922,48427,53602,40674,36050,0.28012159423828126,-0.4429273071289062,10.951078393554686,0.03500717462654733,0.0381274502816395,-0.7614185385562118
5308326807833,101942,48472,53696,40624,35980,-0.39264907226562495,0.6009446166992187,11.726799731445311,-0.0018978790224930785,0.06384107971941855,-0.7491612644200684
5308346736422,101962,48518,53791,40580,35907,-0.5363011718749999,0.35673604736328124,11.319785449218749,0.05206077342465986,-0.06326152382276393,-0.6973343118226795
